Navn       Per Dato     Tid  Kjøp     Salg     Omsatt   Endring Volum
Bank       D   14.11.95 0946                      60,99                 32
Bank       D   14.11.95 1006                      60,99                163
DNB        D   14.11.95 1203    16,30    16,40    16,40              34000
DNB        D   14.11.95 1301    16,30    16,40    16,40              57500
DNB        D   14.11.95 1316    16,30    16,40    16,40              80000
DNB        D   14.11.95 1432    16,30    16,40    16,40              80100
DNB        D   14.11.95 1502    16,30    16,40    16,30             117000
DNB        D   14.11.95 1603    16,30    16,40    16,30             122000
FOK        D   14.11.95 0946                                          1000
FOK        D   14.11.95 1006    32,00    32,40                        1000
FOK        D   14.11.95 1021    32,10    32,30                        1000
FOK        D   14.11.95 1036    32,20    32,30                        1000
FOK        D   14.11.95 1049    32,20    32,30    32,20               1500
FOK        D   14.11.95 1133    32,20    32,30    32,20               4500
FOK        D   14.11.95 1148    32,10    32,20    32,20               9000
FOK        D   14.11.95 1217    32,10    32,20    32,10              11900
FOK        D   14.11.95 1247    32,10    32,20    32,10              12800
FOK        D   14.11.95 1301    32,10    32,20    32,10              85500
FOK        D   14.11.95 1316    32,10    32,20    32,10              90300
FOK        D   14.11.95 1331    32,10    32,20    32,10              90800
FOK        D   14.11.95 1346    32,10    32,20    32,10              92300
FOK        D   14.11.95 1401    32,10    32,20    32,10              95300
FOK        D   14.11.95 1432    32,10    32,20    32,10              95700
FOK        D   14.11.95 1442    32,10    32,20    32,10             101000
FOK        D   14.11.95 1447    32,10    32,20    32,10             103000
FOK        D   14.11.95 1502    32,10    32,20    32,10             105000
FOK        D   14.11.95 1517    32,10    32,20    32,10             107000
FOK        D   14.11.95 1532    32,00    32,10    32,10             130000
FOK        D   14.11.95 1603    32,20    32,40    32,20             137000
ISB        D   14.11.95 1006             17,50                            
ISB        D   14.11.95 1021    17,00    17,50                            
ISB        D   14.11.95 1447    17,00    17,50                       77600
ISB        D   14.11.95 1603    17,00    17,30                       77600
NBK        D   14.11.95 1006            105,00                            
NBK        D   14.11.95 1021            100,00                            
NBK        D   14.11.95 1036    97,00   100,00                            
NBK        D   14.11.95 1148    97,00    99,00                            
NBK        D   14.11.95 1203    97,00    98,50                            
NBK        D   14.11.95 1247    97,00    98,50    97,00                320
NBK        D   14.11.95 1346    97,00    98,50    97,50                524
NBK        D   14.11.95 1447    97,00    98,50    97,50               5524
NBK        D   14.11.95 1502    97,00    97,50    97,50               5524
NBK        D   14.11.95 1603    97,00    97,50    97,50              40200
PRF        D   14.11.95 1006            145,00                            
PRF        D   14.11.95 1021   141,00   145,00                            
PRF        D   14.11.95 1231   141,00   145,00                        2000
PRF        D   14.11.95 1502   141,00   143,00                        2000
UNS        D   14.11.95 1006             31,70                        1133
UNS        D   14.11.95 1036    31,50    31,70                        1133
UNS        D   14.11.95 1049    31,40    31,70    31,50              11100
UNS        D   14.11.95 1104    31,40    31,60    31,40              13100
