170560	"Havly"	""	""	8020	""	""	        
170561	"Qualitronic Odd Jubal - Andersen & Co."	"Hellerudvn. 36"	"Postboks 19 Tveita"	617	"Odd Jubal-Andersen"	"T"	19951116
170562	"J.H.R. Partners A/S"	"Brynsvn. 100"	""	1352	""	""	19950614
170563	"O.M. Mjõs A/S"	""	""	5252	"Tore Mjõs"	"PH"	        
170564	"Vest Telemark Installasjon AS"	""	""	3853	"Tarjei KrÜkenes"	"dhtk"	        
170565	"Argu Agentur"	""	""	4820	""	""	        
170566	"Sot Reiser BlÜbussene A/S"	""	"Postboks 555 Madla"	4040	""	""	        
170567	"Victoria Verneutstyr A/S"	"Daniel Hansens gt. 16"	""	5028	"Hauge"	""	19950619
170568	"ùystein Nordnes"	""	"Postboks 37"	8801	"ùystein Nordnes"	""	        
170569	"Hartmark - IRAS/PA Consulting Group"	""	"Postboks 50"	1324	"Roar Toresen"	"TK"	        
170570	"Byggsenteret Kirkenes A/S"	"John Knudzens g. 1"	"Postboks 83"	9901	"Lund"	"DKT"	19950905
170571	"Astafjord Traiding A/S"	"Sandstrand"	""	9445	""	""	        
170572	"Admiral Hotel"	"C. Sundts gt. 9"	"Postboks 287"	5001	"Per Jõrgensen Dir."	"T"	19951211
170573	"MG Plast A/S"	""	"Postboks 3054 Kambo"	1501	"Knut Kristiansen"	"P"	19951003
170574	"Kongsvinger Industri A/S"	"Lensmann Jahnsens v. 39"	""	2200	""	""	        
170575	"K/S A/S Fjordbulk"	"Prinsensgt. 85"	"Postboks 7"	8001	"Kjell Nilsen"	"TS"	19950309
170576	"Vike Camping"	""	""	5175	"Tordis TÜlesen Vike"	"T"	        
170577	"Ingeniõrfirma Bastõe og Andersen ANS"	"Mossevn. 39"	""	1601	""	""	        
170578	"MÜsÜplassen Hytte og Caravansenter"	""	""	2650	""	""	        
170579	"Hõland Byggmarked A/S"	""	""	1963	"Frank Husvik"	"EAT"	        
170580	"Austvoll Noteverksted A/S"	""	""	5397	""	""	        
170581	"O.B. Wiik"	""	"Postboks 203"	2020	"Lars Dalgaard"	"DPT"	        
170582	"ùra Trevare A/S"	""	"Postboks 136"	7461	"Torleif Feragen"	"DEP"	        
170583	"Hardanger Trevare A/S"	""	""	5783	"Kjell Djõnne"	"DP"	        
170584	"èl Gardin og Utstyrstugu"	""	"Postboks 52"	3570	"Berit Hovda"	"KTH"	19951030
170585	"A/S MõreTre"	""	""	6650	"ùk.sjef Jan Arild Dahl"	"DEP"	        
170586	"Brõdrene Sõrensen Service A/S"	"Rõdmyrsvingen 3"	"Postboks 2604"	3701	"Runar Frõmyr"	"DPHT"	19950629
170587	"Veimansfjord Laks A/S"	""	""	9395	""	""	        
170588	"Tõnsvik Fisk"	""	""	9022	""	""	        
170589	"Nesna EDB A/S"	""	"Postboks 75"	8700	"Arne Langset"	""	        
170590	"Fagerhol Trevare A/S"	""	""	6143	""	""	        
170591	"Atelier Ogna"	"Ognavn. 44"	""	4364	"Marit Stornes"	""	        
170592	"Vennesla Trevarefabrikk A/S"	""	"Postboks 33"	4701	"Eiersland"	"P"	        
170593	"Bergen Scientific Center IBM"	"Kokstadv. 27"	"Postboks 86"	5061	"Bruce Smith"	""	19951214
170594	"Karasjok Produkter A/S"	"Storgata"	"P.b. 84"	9730	"Bjõrn Andersen"	"PH"	19950306
170595	"Nye Jonny's Interiõr A/S"	"Trygve Lies plass 1"	""	1051	"Jonny SkÜningsrõd"	""	        
170596	"Larsnes Mek. Verksted A/S"	""	""	6084	"Jarle Gunnarstein"	""	        
170597	"Jan Willumsen Handelsgartneri"	""	"Postboks 41"	8102	"Jan Willumsen"	"DEP"	        
170598	"Follo Bad- og Kjõkkensenter A/S"	"èsvn. 113"	""	1400	"Laila Farberg"	""	        
170599	"Butikklys"	""	"Postboks 2245"	4601	"Nils Erik Rõnning"	""	        
170600	"Torol"	""	"Postboks 64"	1464	""	""	        
170601	"Jar Kjõtt og Vilt"	"Jarvn. 1"	""	1342	"Fru Kvaksrud"	"DT"	19960104
170602	"Lunde Transport A/S"	""	""	7760	"Jan Erik Lunde"	""	        
170603	"SERLA-NOR AS"	"Nesbruvn. 33"	"Postboks 173"	1361	"Rune Johansen"	""	19951218
170604	"Raman Mat A/S"	""	""	3075	""	""	        
170605	"èmli Treinudstri"	""	""	4850	""	""	        
170606	"R. Hansmark A/S"	"Kokstadflaten 13"	""	5061	"Disponent Gunnar Hagebõ"	"eai"	        
170607	"Brõdrene Kolstad A/S"	"Jarvn. 7"	"Postboks 11"	1342	""	""	        
170608	"Norsk Filmstudio AS"	"Wedel Jarlsbergs v. 36"	"Pb. 83"	1342	"Svein Trëlvik"	""	19960104
170609	"Anco-Service A/S"	"Olav V gt. 96"	"Postboks 72"	8001	"Svein Johansen"	"DEAIT"	        
170610	"Sundmõre SandblÜsing A/S"	""	"Postboks 102"	6065	"Gunnar Harald Olsen"	""	        
170611	"AGA AS Hovedkontor"	"Gjerdrumsv. 8 (0486)"	"Pb. 13 Grefsen"	409	"Adm.Dir: Bo Karlsson"	""	19960101
170612	"Erik ùverby KonsertbyrÜ"	""	"Postboks 1060 Vangen"	2201	""	""	        
170613	"Hellandsjõ Skinnsõm A/S"	"Hellandsjõ"	""	7206	"Ingeborg Volden"	"EP"	19950324
170614	"Artist og Program Organisasjon A/S"	"Refstad Alle 13"	"Postboks 449 ùkern"	513	"Anita Nyhagen Stendal"	"T"	19951214
170615	"Valle Motell og Camping"	""	""	4690	"Halvard Kjellberg"	""	        
170616	"Smedsmo Camping og Fritid"	""	""	2680	"Jostein Smedmoe"	""	        
170617	"Sign Shop AS"	"Barstõlvn. 13"	""	4636	"Jan Jensen"	"P"	19951017
170618	"Astrup Kunst & Rammer"	""	"Postboks 539"	6801	"Finn Ove ùvrebõ"	"PHT"	19951030
170619	"Kjell Hagen Snekkerverksted"	""	""	4120	""	""	        
170620	"Telemark Husflidssentral"	"RÜdhusgt. 2"	""	3701	"Kjërsti NõklegÜrd"	""	        
170621	"A. Lillejord"	"Langstranda"	""	8000	""	""	        
170622	"Harald Morris A/S"	"Calmeyers gt. 12"	"Postboks 113 Ankertorget"	133	""	""	        
170623	"Langenuen Motell"	""	""	5400	"Reinert Bõrtveit"	""	19950928
170624	"AFT Romerike"	"Industrivn. 14 a"	"Postboks 144"	2020	"Kai Andersen"	"T"	19950316
170625	"Kim's Danserestaurant"	"Solheimsgt. 1"	""	2000	""	""	        
170626	"Mirawa Restaurant"	"Schwenkegt. 1"	""	3015	""	""	        
170627	"Minor A/S"	"Byavn. 57"	""	7700	"Tore Egge"	""	19950124
170628	"Knuts Kontorutstyr"	""	"Postboks 2220 Elvebakken"	9501	"Knut Wilhelmsen"	"DT"	19950829
170629	"A/S Pryd og Brukskunst"	""	"Postboks 178"	5801	""	""	        
170630	"HÜrsystemer A/S"	"Grõnnegt. 63"	""	2300	"Odd Scherpen"	""	        
170631	"Bio-Test A/S"	"Idrettsvn. 2"	"Postboks 66"	1580	"Lars Wold"	"T"	19950215
170632	"Lofoten Turist- og Rorbusenter"	""	""	8310	"Sjur Hemma"	""	        
170633	"Leiknes A/S"	""	"Postboks 257"	9301	"Svein Hugo Leiknes"	""	        
170634	"Thors Bakeri og Konditori"	""	""	6060	"Thor Alvestad"	""	        
170635	"Moelv Bil og Karosseri"	""	"Postboks 86"	2391	"Ludviksen-Skullerud"	""	        
170636	"Rõrhandelen A/S"	"Guleng"	""	9001	"Mikkel Hermansen"	""	        
170637	"Joha Consult"	"Fjordgt. 46/48"	"Postboks 383"	7001	""	""	        
170638	"Frõya Trõya A/S"	"ù. Rosten 84"	""	7075	"Fritz Kõhler"	"P"	19950516
170639	"Hõyanger Fotklinikk"	""	"Postboks 71"	5901	"Margit Kvalheim"	"DT"	19950201
170640	"Brõdrene Bjõrndalsëter"	"Gamle Konge v."	""	7340	"Jon Bjõrndalsëter"	""	        
170641	"Frida Fritid"	"Idrettsvn. 13"	""	1580	"Paul Tangen"	""	        
170642	"Lumicae A/S"	"Professor Smiths Alle 64(3048)"	"Postboks 4094 Gulskogen"	3002	"Finn Strand"	"PK"	19950207
170643	"Tõmrermester Henry Daugaard"	"N. Langgt. 39"	""	9950	""	""	        
170644	"Otta Transportservice"	"Skansen 12"	"Postboks 79"	2671	"Arvid Tullut"	"T"	19960103
170645	"Titlestad BIlservice"	"Hjellestadveien 3"	""	5065	""	"d"	19951103
170646	"Nicolaisen's Truckverksted"	""	"Postboks 48"	1651	"Laila Nicolaisen"	"DT"	19951204
170647	"Solkjeller'n"	""	"Postboks 441"	8451	"Kjell Staven"	""	        
170648	"Oddmund Os"	""	""	6770	"Oddmund Os"	""	        
170649	"Stevid Elektro A/S"	"Friggs gt. 17"	"Postboks 781"	3190	"HeigÜrd"	""	        
170650	"Spiropack A/S"	"Molovn. 1"	""	3191	"Holt"	""	        
170651	"Vinstra Motell"	""	""	2640	""	""	        
170652	"Montek A/S"	"Ollebakken 17"	""	3190	"Rolf Haugen"	""	        
170653	"West Mentor A/S"	""	""	6035	"Karl F. Bolstad"	"TK"	19950727
170654	"Olsen Elisabeth og Roger ANS"	""	""	7530	"Roger Olsen"	"T"	        
170655	"Sanner Turisthotell"	""	""	2750	""	""	        
170656	"Norpapp Industri"	"Lommedalsvn. 230"	""	1353	"ùyvind KÜrbõ"	"T"	19950831
170657	"Skansen Sport A/S"	""	"Postboks 349"	8801	"Asbjõrn Edvartsen"	""	        
170658	"Libris Moss Bokhandel A/S"	"RÜdhusgt. 1"	"Postboks 25"	1501	"Lars Birger Martinsen"	"D"	        
170659	"Lytex"	""	""	6493	"Marianne Lyngstad"	"T"	19950427
170660	"E-Line Origa AS"	"Garderbakken 1"	"Postboks 193"	1900	"Roar Carlsen"	"AI"	19950922
170661	"Vidron"	"Laskenvn. 17"	""	3189	"Jan Lunde"	""	19951030
170662	"Kebab Ekspressen"	"Engen 32"	""	5011	"Ali Khateeb"	"T"	        
170663	"Ko Betong A/S"	"ùstre Rosten 80"	""	7075	"Ernst Mõrtfell"	""	        
170664	"Tegner Kirsten"	"Smiths gt. 7"	""	6100	"Kirsten M. Dõvre Bang"	""	        
170665	"Tradex Group"	"Fogt Holmboesgt."	"Postboks 146"	9250	"Stig Tobiasen"	"T"	19951228
170666	"Firma Glenn Hagen"	"Strõmsvn. 76"	""	2010	"Glenn Hagen"	""	        
170667	"MÜlõy BÜt og Industrisõm AS"	""	"Postboks 184"	6701	"Martin Nerland"	"P"	19950522
170668	"System Supply A/S"	"Industrivn. 3"	"Postboks 82"	6600	"Einar SkomsõyvÜg"	""	        
170669	"Fallbakkens Transport A/S"	""	""	2330	"Ola Fallbakken"	"T"	        
170670	"Storvik Salong"	"Sjõgt. 6"	""	8006	"Frisõrmester Aud Fredriksen"	"TK"	        
170671	"Aquarium A/S"	"Bogstadvn. 53"	""	366	"èse Paus"	"D"	        
170672	"Nye Stilmõbler AS"	""	""	6215	"Erling Ytterdal"	"DP"	19951108
170673	"J. Tveit's Smie A/S"	""	""	2647	"Jan Tveit"	"PH"	        
170674	"Sõmsenteret"	"Nyevn. 1"	""	4370	""	""	        
170675	"ùksfjord Hotell A/S"	""	""	9550	""	""	19951005
170676	"Frog Trio-Sveis AS"	"Hensmoen"	"Postboks 1168 Flattum"	3501	"Adm.dir Arly Frog"	"P"	19951214
170677	"Norsk Boavvikling og Auksjon A/S"	"Sjõgt. 8"	""	8000	"Ove Edvartsen"	""	        
170678	"Stõren Bygdemuseum"	""	""	7090	"Lars Solstad"	""	        
170679	"Vefsn Museum"	""	""	8650	"Kalle Dolmen"	""	        
170680	"Vakt & Alarmsystemer A/S"	"Ole Tobias Olsensgt."	"Postboks 343"	8601	"Helge Stauren"	""	        
170681	"Bohus Trevarefabrikk"	"Storgt. 19"	""	8001	"Per Morten Hunstad"	""	        
170682	"Olav HelgÜs & Sõnn"	"Lysthaugen 6b"	""	6800	"Bernt HelgÜs"	"TKFN"	        
170683	"Br. Nygaard"	"RemegÜrden"	""	4520	"Terje Nygaard"	"DTK"	        
170684	"Myre Trelast"	"Storgt. 7"	""	8430	"Einar Knudsen"	"DHF"	        
170685	"Nord Vest-Norge Forsikring og Finans A/S"	"Storgt. 30"	""	6400	"K. Johannessen & F. IndregÜrd"	""	        
170686	"Tronvik Havfiskeselskap MS Rangõy"	""	""	6393	"Morten Gabrielsen"	"DT"	        
170687	"Arvid's BegravelsesbyrÜ"	"Kappellvn. 15"	"Postboks 768 Krossen"	4300	"Arvid Kufaas"	"t"	        
170688	"Sauland Fina Senter"	"Saulandstunet"	""	3692	"NygÜrd"	""	        
170689	"Norco Butikkutvikling A/S"	"Lerivik E6-70"	""	8500	"Leif Arne Olsen"	""	        
170690	"A/S Teknisk Plast"	""	""	5390	"Skaug"	""	        
170691	"Henningsvër Feriebrygge A/S"	""	"Postboks 90"	8330	"Otto Aasheim"	""	        
170692	"Aanesland Fabrikker A/S"	""	"Postboks 25"	4760	"ùystein Aanesland"	"PITH"	19951214
170693	"Harald Lyche & Co A/S"	""	"Postboks 2171 Strõmsõ"	3003	"Svein E. Lund"	""	        
170694	"Stefan Hotel Rainbow"	"Rosenkrantz gt. 1"	""	159	"Henning Stordal"	""	19951128
170695	"Sõrlandets RengjõringsbyrÜ"	"Kronprinsens gt. 18"	""	4614	"Fredheim"	"T"	19950119
